Id,Panjang,Lebar,Warna,Bentuk,Tekstur Tepi,Bau,Tulang Daun,Tekstur Daun,Motif Daun
Daun Jeruk,0,0,2,3,1,0,1,0,0
Daun Jeruk,0,0,2,3,1,0,1,0,0
Daun Jeruk,0,0,2,3,1,0,1,0,0
Daun Jeruk,0,0,2,3,1,0,1,0,0
Daun Jeruk,0,0,2,3,1,0,1,0,0
Daun Jeruk,0,0,2,3,1,0,1,0,0
Daun Jeruk,0,0,2,3,1,0,1,0,0
Daun Jeruk,0,0,2,3,1,0,1,0,0
Daun Jeruk,0,0,2,3,1,0,1,0,0
Daun Jeruk,0,0,2,3,1,0,1,0,0
Daun Mangga,5,2,2,6,3,1,1,1,0
Daun Mangga,6,3,2,6,3,1,1,1,0
Daun Mangga,7,2,2,6,3,1,1,1,0
Daun Mangga,5,2,2,6,3,1,1,1,0
Daun Mangga,7,2,1,6,3,1,1,1,0
Daun Mangga,6,3,2,6,3,1,1,1,0
Daun Mangga,7,2,2,6,3,1,1,1,0
Daun Mangga,6,2,2,6,3,1,1,1,0
Daun Mangga,7,3,2,6,3,1,1,1,0
Daun Mangga,7,2,2,6,3,1,1,1,0
Daun Jambu Biji,2,1,1,16,3,1,1,1,0
Daun Jambu Biji,2,1,1,16,3,1,1,1,0
Daun Jambu Biji,2,1,1,16,3,1,1,1,0
Daun Jambu Biji,2,1,1,16,3,1,1,1,0
Daun Jambu Biji,2,1,1,16,3,1,1,1,0
Daun Jambu Biji,2,1,1,16,3,1,1,1,0
Daun Jambu Biji,2,1,1,16,3,1,1,1,0
Daun Jambu Biji,2,1,1,16,3,1,1,1,0
Daun Jambu Biji,2,1,1,16,3,1,1,1,0
Daun Jambu Biji,2,1,1,16,3,1,1,1,0
Daun Bayam,5,6,2,3,3,1,1,1,0
Daun Bayam,5,6,2,3,3,1,1,1,0
Daun Bayam,1,3,2,3,3,1,1,1,0
Daun Bayam,3,4,2,3,3,1,1,1,0
Daun Bayam,1,2,2,3,3,1,1,1,0
Daun Bayam,3,4,2,3,3,1,1,1,0
Daun Bayam,3,5,2,3,3,1,1,1,0
Daun Bayam,5,7,2,3,3,1,1,1,0
