Id,Panjang,Lebar,Warna,Bentuk,Tekstur Tepi,Bau,Tulang Daun,Tekstur Daun,Motif Daun
Daun Jambu Biji,4,2,2,6,0,1,1,0,0
Daun Jambu Biji,6,3,2,6,0,1,1,0,0
Daun Jambu Biji,5,3,2,6,0,1,1,0,0
Daun Jambu Biji,3,3,2,6,0,1,1,0,0
Daun Jambu Biji,2,2,2,6,0,1,1,0,0
Daun Ketapang,1,1,0,17,0,2,1,0,0
Daun Ketapang,2,1,0,17,0,2,1,0,0
Daun Ketapang,1,1,0,17,0,2,1,0,0
Daun Ketapang,2,2,0,17,0,2,1,0,0
Daun Ketapang,2,2,0,17,0,2,1,0,0
Daun Sirih Gading,1,2,1,1,3,0,0,0,2
Daun Sirih Gading,2,2,1,1,3,0,0,0,2
Daun Sirih Gading,1,2,1,1,3,0,0,0,3
Daun Sirih Gading,2,3,1,1,3,0,0,0,3
Daun Sirih Gading,2,3,1,1,3,0,0,0,2
Daun Mangga,5,4,0,6,3,1,1,0,0
Daun Mangga,5,4,0,6,3,1,1,0,0
Daun Mangga,6,4,0,6,3,1,1,0,0
Daun Mangga,4,4,0,6,3,1,1,0,0
Daun Mangga,7,5,0,6,3,1,1,0,0
Daun Nangka,3,3,2,15,0,2,1,0,0
Daun Nangka,3,2,2,15,0,2,1,0,0
Daun Nangka,2,2,2,15,0,2,1,0,0
Daun Nangka,3,3,2,15,0,2,1,0,0
Daun Nangka,3,3,2,15,0,2,1,0,0
Daun Bayam,0,0,1,3,2,2,0,0,0
Daun Bayam,0,0,1,3,2,2,0,0,0
Daun Bayam,0,0,1,3,2,2,0,0,0
Daun Bayam,0,0,1,3,2,2,0,0,0
Daun Bayam,0,0,1,3,2,2,0,0,0
